| 2012-01    | 56277     | 1474832      | 1531109  | 12226058458  | 360215045   | 11865843413  |
| 2012-02    | 53559     | 1273521      | 1327080  | 15000259536  | 369859559   | 14630399977  |
| 2012-03    | 153461    | 1126157      | 1279618  | 26732114035  | 1560150961  | 25171963074  |
| 2012-04    | 78668     | 935567       | 1014235  | 15562911939  | 562037157   | 15000874782  |
| 2012-05    | 100801    | 1068385      | 1169186  | 14198731209  | 706112931   | 13492618278  |
| 2012-06    | 114782    | 1188084      | 1302866  | 14276608450  | 759273271   | 13517335179  |
| 2012-07    | 109631    | 1172776      | 1282407  | 14019271957  | 836064519   | 13183207438  |
| 2012-08    | 86006     | 1367931      | 1453937  | 17154148874  | 598003885   | 16556144989  |
| 2012-09    | 108440    | 1173526      | 1281966  | 15032717435  | 1145153772  | 13887563663  |
| 2012-10    | 145690    | 1354321      | 1500011  | 17736276978  | 1495106610  | 16241170368  |
| 2012-11    | 152943    | 1242501      | 1395444  | 15112201053  | 1290266499  | 13821934554  |
| 2012-12    | 203189    | 1194395      | 1397584  | 13542620595  | 1872651669  | 11669968926  |
