"2013-01-01"	35571
"2013-01-02"	45705
"2013-01-03"	46498
"2013-01-04"	43971
"2013-01-05"	38926
"2013-01-06"	39947
"2013-01-07"	45571
"2013-01-08"	52028
"2013-01-09"	54624
"2013-01-10"	63736
"2013-01-11"	49989
"2013-01-12"	40333
"2013-01-13"	42705
"2013-01-14"	8843
"2013-01-15"	49171
"2013-01-16"	50213
"2013-01-17"	50208
"2013-01-18"	43164
"2013-01-19"	34412
"2013-01-20"	38624
"2013-01-21"	45261
"2013-01-22"	51984
"2013-01-23"	49415
"2013-01-24"	45876
"2013-01-25"	44166
"2013-01-26"	44350
"2013-01-27"	45596
"2013-01-28"	56068
"2013-01-29"	54068
"2013-01-30"	52563
"2013-01-31"	57238
"2013-02-01"	904
